(None),(None)
(blank),(blank)
(empty),(empty)
+ Add Parameter,+ Add Parameter
15 Visual Components,15 Visual Components
15 interactive components • 3000+ icons • Full RTL & dark mode support,15 interactive components • 3000+ icons • Full RTL & dark mode support
"15 interactive visual components for building rich UX experiences in Frappe apps. From graph engines to kanban boards, from calendars to storyboards.","15 interactive visual components for building rich UX experiences in Frappe apps. From graph engines to kanban boards, from calendars to storyboards."
3000+ Icons,3000+ Icons
3000+ Tabler icons with smart DocType mapping,3000+ Tabler icons with smart DocType mapping
3000+ premium icons,3000+ premium icons
8 Ready-to-use Templates,8 Ready-to-use Templates
AI Assistant,AI Assistant
AI endpoint not configured. Set `endpoint` or `method` option.,AI endpoint not configured. Set `endpoint` or `method` option.
API integration,API integration
About,About
About Frappe Visual,About Frappe Visual
Accent,Accent
Accept All,Accept All
Accessibility Audit,Accessibility Audit
Accounting,Accounting
Actions,Actions
Active,Active
Active Customers,Active Customers
Add,Add
Add Customer,Add Customer
Add Document Card,Add Document Card
Add New,Add New
Add Users,Add Users
Add a comment...,Add a comment...
Add comment (optional),Add comment (optional)
Add condition,Add condition
Add group,Add group
Add people (email or name),Add people (email or name)
Add reaction,Add reaction
Add tag…,Add tag…
Admin,Admin
Advanced,Advanced
Advanced layout algorithms,Advanced layout algorithms
Affected,Affected
After,After
After Effects animations,After Effects animations
Alerts,Alerts
All,All
All Done!,All Done!
All Systems Operational,All Systems Operational
All done!,All done!
All types,All types
Allowed Roles,Allowed Roles
Amendment,Amendment
An error occurred in Frappe Visual,An error occurred in Frappe Visual
Angle,Angle
Animation Engine,Animation Engine
App Map,App Map
App Structure,App Structure
App showcase for admins and decision makers,App showcase for admins and decision makers
Application,Application
Application Structure,Application Structure
Apply,Apply
Approval workflow,Approval workflow
Approve,Approve
Approved,Approved
April,April
Are you sure?,Are you sure?
Arkan Dark,Arkan Dark
Arkan Default,Arkan Default
Ask anything...,Ask anything...
Assignments,Assignments
Attach,Attach
Attach file,Attach file
Audit Trail,Audit Trail
August,August
Auto,Auto
Auto Dark Mode,Auto Dark Mode
Auto Dark Mode Detection,Auto Dark Mode Detection
Auto Detection,Auto Detection
Auto Layout,Auto Layout
Auto RTL,Auto RTL
Auto RTL Detection,Auto RTL Detection
"Auto dark mode, RTL, and 55+ CSS design tokens","Auto dark mode, RTL, and 55+ CSS design tokens"
Auto-backup data,Auto-backup data
Auto-refresh every,Auto-refresh every
Avg Utilization,Avg Utilization
Back,Back
Back to top,Back to top
Background,Background
Background Jobs,Background Jobs
Background image opacity (0.0 – 1.0),Background image opacity (0.0 – 1.0)
Backlog,Backlog
Base Size,Base Size
Base Theme,Base Theme
Basic,Basic
Before,Before
Best formats,Best formats
Bilingual Tooltip System,Bilingual Tooltip System
Bilingual tooltips disabled,Bilingual tooltips disabled
Bilingual tooltips enabled,Bilingual tooltips enabled
Bins,Bins
Bookmark,Bookmark
Bookmark removed,Bookmark removed
Border,Border
Border Radius,Border Radius
Brand Colors,Brand Colors
Breadcrumb,Breadcrumb
Browse and search 3000+ Tabler icons,Browse and search 3000+ Tabler icons
Built for Arabic and Hebrew from the ground up,Built for Arabic and Hebrew from the ground up
Built on battle-tested libraries,Built on battle-tested libraries
Button has no accessible name,Button has no accessible name
CEO,CEO
CFO,CFO
COO,COO
CTO,CTO
Cache cleared,Cache cleared
Calendar,Calendar
Cancel,Cancel
Cancelled,Cancelled
Cannot delete built-in themes,Cannot delete built-in themes
Capacity,Capacity
Caption,Caption
Capturing...,Capturing...
Card View,Card View
Cards,Cards
Change Background,Change Background
Change History,Change History
Change Layout Algorithm,Change Layout Algorithm
Changed,Changed
Chart,Chart
Chart engine not available,Chart engine not available
ChartPro not loaded,ChartPro not loaded
Chat cleared. How can I help you?,Chat cleared. How can I help you?
Child Table,Child Table
Circle,Circle
Clear,Clear
Clear All,Clear All
Clear Cache,Clear Cache
Clear chat,Clear chat
Clear selection,Clear selection
Click Send to test,Click Send to test
Click a node to see details,Click a node to see details
Click any button above to preview a template,Click any button above to preview a template
Click to edit,Click to edit
Clickable element not keyboard accessible,Clickable element not keyboard accessible
Clipboard copy failed,Clipboard copy failed
Close,Close
Close current tab,Close current tab
Close detail panel,Close detail panel
Close panel (Esc),Close panel (Esc)
Close panel / overlay,Close panel / overlay
Close tab,Close tab
Closed,Closed
Code review,Code review
Collapse,Collapse
Collapse All,Collapse All
Color,Color
Color System,Color System
Column,Column
Column Mapping,Column Mapping
Columns,Columns
Command Center,Command Center
Command Palette,Command Palette
Comment,Comment
Comments,Comments
Company Details,Company Details
Company Name,Company Name
Company departments and hierarchy,Company departments and hierarchy
Comparison,Comparison
Complete,Complete
Complete the following steps to get started,Complete the following steps to get started
Completed,Completed
Component Not Found,Component Not Found
Components,Components
Concentric,Concentric
Condition,Condition
Configuration & Docs,Configuration & Docs
Configuration Error,Configuration Error
Configure your preferences,Configure your preferences
Configure your settings,Configure your settings
Connected to,Connected to
Connection Types,Connection Types
Connections,Connections
Context Menu,Context Menu
Context menu,Context menu
Controller,Controller
Copied,Copied
Copied rich text,Copied rich text
Copied to clipboard,Copied to clipboard
Copy,Copy
Core Infrastructure,Core Infrastructure
Could not list whiteboards,Could not list whiteboards
Could not load record,Could not load record
Create,Create
Create first,Create first
Create new document,Create new document
Created By,Created By
Created successfully,Created successfully
Critical,Critical
Current,Current
Current value,Current value
Custom,Custom
Customer Relationships,Customer Relationships
Customize,Customize
Cytoscape.js with 8 layout algorithms including ELK.js,Cytoscape.js with 8 layout algorithms including ELK.js
Dark Mode,Dark Mode
Data Adapter,Data Adapter
Data Model,Data Model
Data Preview,Data Preview
Data Relationships,Data Relationships
Data Story View,Data Story View
Database optimization,Database optimization
Date,Date
Day,Day
Day of Month,Day of Month
Day of Week,Day of Week
Deals,Deals
December,December
Decorative image should have role=presentation,Decorative image should have role=presentation
Decrease font size,Decrease font size
Default,Default
Default Layout,Default Layout
Delete,Delete
Deleted,Deleted
Delivered,Delivered
Demo data cleared for Frappe Visual,Demo data cleared for Frappe Visual
Demo data loaded for Frappe Visual,Demo data loaded for Frappe Visual
